dive,height,description,degree_of_difficulty,ignore1,ignore2,ignore3,ignore4,ignore5,ignore6
5371B,3M,Reverse 3 1/2 Somersault 1/2 Twist Pike,3.40,0.00,0.00,0,0.00,0.00,0,
5371B,10M,Reverse 3 1/2 Somersault 1/2 Twist Pike,3.30,0.00,0.00,0,0.00,0.00,0,
5371C,3M,Reverse 3 1/2 Somersault 1/2 Twist Tuck,3.10,29.45,29.45,1,34.10,51.15,3,
5371C,10M,Reverse 3 1/2 Somersault 1/2 Twist Tuck,3.00,0.00,0.00,0,0.00,0.00,0,
5373C,3M,Reverse 3 1/2 Somersault 1 1/2 Twist Tuck,3.70,0.00,0.00,0,0.00,0.00,0,
5373C,10M,Reverse 3 1/2 Somersault 1 1/2 Twist Tuck,3.60,0.00,0.00,0,0.00,0.00,0,
5375C,3M,Reverse 3 1/2 Somersault 2 1/2 Twist Tuck,4.10,0.00,0.00,0,0.00,0.00,0,
5375C,10M,Reverse 3 1/2 Somersault 2 1/2 Twist Tuck,4.00,0.00,0.00,0,0.00,0.00,0,
5411A,1M,Inward Dive 1/2 Twist Straight,2.00,27.00,27.00,1,34.08,50.00,30,
5411A,3M,Inward Dive 1/2 Twist Straight,1.90,19.27,29.45,7,28.04,47.50,33,
5411A,5M,Inward Dive 1/2 Twist Straight,2.00,0.00,0.00,0,38.00,38.00,1,
5411A,7M,Inward Dive 1/2 Twist Straight,1.90,0.00,0.00,0,18.50,18.50,1,
5411A,10M,Inward Dive 1/2 Twist Straight,1.90,0.00,0.00,0,0.00,0.00,0,
5411B,1M,Inward Dive 1/2 Twist Pike,1.70,17.00,29.75,20,19.79,35.70,134,
5411B,3M,Inward Dive 1/2 Twist Pike,1.60,17.62,32.00,105,18.06,45.60,651,
5411B,5M,Inward Dive 1/2 Twist Pike,1.70,18.70,28.90,6,20.73,33.15,26,
5411B,7M,Inward Dive 1/2 Twist Pike,1.60,0.00,0.00,0,0.00,0.00,0,
5411B,10M,Inward Dive 1/2 Twist Pike,1.60,0.00,0.00,0,26.40,26.40,1,
5411C,1M,Inward Dive 1/2 Twist Tuck,1.60,15.20,27.20,3,19.86,33.60,47,
5411C,3M,Inward Dive 1/2 Twist Tuck,1.50,15.50,29.25,12,16.11,30.00,142,
5411C,5M,Inward Dive 1/2 Twist Tuck,1.60,0.00,0.00,0,20.13,32.80,6,
5411C,7M,Inward Dive 1/2 Twist Tuck,1.50,0.00,0.00,0,0.00,0.00,0,
5411C,10M,Inward Dive 1/2 Twist Tuck,1.50,0.00,0.00,0,0.00,0.00,0,
5412A,1M,Inward Dive 1 Twist Straight,2.20,48.03,53.90,3,51.92,59.40,15,
5412A,3M,Inward Dive 1 Twist Straight,2.10,0.00,0.00,0,0.00,0.00,0,
5412A,5M,Inward Dive 1 Twist Straight,2.20,0.00,0.00,0,0.00,0.00,0,
5412A,7M,Inward Dive 1 Twist Straight,2.10,0.00,0.00,0,0.00,0.00,0,
5412A,10M,Inward Dive 1 Twist Straight,2.10,0.00,0.00,0,0.00,0.00,0,
5412B,1M,Inward Dive 1 Twist Pike,1.90,20.90,20.90,1,22.33,23.75,2,
5412B,3M,Inward Dive 1 Twist Pike,1.80,17.10,17.10,1,17.55,18.00,2,
5412B,5M,Inward Dive 1 Twist Pike,1.90,0.00,0.00,0,0.00,0.00,0,
5412B,7M,Inward Dive 1 Twist Pike,1.80,0.00,0.00,0,0.00,0.00,0,
5412B,10M,Inward Dive 1 Twist Pike,1.80,0.00,0.00,0,0.00,0.00,0,
5412C,1M,Inward Dive 1 Twist Tuck,1.80,0.00,0.00,0,0.00,0.00,0,
5412C,3M,Inward Dive 1 Twist Tuck,1.70,0.00,0.00,0,0.00,0.00,0,
5412C,5M,Inward Dive 1 Twist Tuck,1.80,0.00,0.00,0,0.00,0.00,0,
5412C,7M,Inward Dive 1 Twist Tuck,1.70,0.00,0.00,0,0.00,0.00,0,
5412C,10M,Inward Dive 1 Twist Tuck,1.70,0.00,0.00,0,0.00,0.00,0,
5413A,1M,Inward Dive 1 1/2 Twist Straight,2.60,0.00,0.00,0,29.03,52.00,3,
5413A,3M,Inward Dive 1 1/2 Twist Straight,2.50,0.00,0.00,0,0.00,0.00,0,
5421D,1M,Inward 1 Somersault 1/2 Twist Free,1.90,18.29,31.35,4,22.20,34.20,27,
5421D,3M,Inward 1 Somersault 1/2 Twist Free,1.70,13.03,23.80,3,16.72,28.05,12,
5421D,5M,Inward 1 Somersault 1/2 Twist Free,1.90,0.00,0.00,0,0.00,0.00,0,
5421D,7M,Inward 1 Somersault 1/2 Twist Free,1.70,0.00,0.00,0,0.00,0.00,0,
5421D,10M,Inward 1 Somersault 1/2 Twist Free,1.80,0.00,0.00,0,30.60,30.60,1,
5422D,1M,Inward 1 Somersault 1 Twist Free,2.10,31.50,31.50,1,22.23,31.50,6,
5422D,3M,Inward 1 Somersault 1 Twist Free,1.90,0.00,0.00,0,26.60,26.60,1,
5422D,5M,Inward 1 Somersault 1 Twist Free,2.10,0.00,0.00,0,0.00,0.00,1,
5422D,7M,Inward 1 Somersault 1 Twist Free,1.90,0.00,0.00,0,20.90,20.90,1,
5422D,10M,Inward 1 Somersault 1 Twist Free,2.00,0.00,0.00,0,0.00,0.00,0,
5424D,3M,Inward 1 Somersault 2 Twist Free,2.30,0.00,0.00,0,31.05,31.05,1,
5426D,1M,Inward 1 Somersault 3 Twist Free,3.20,0.00,0.00,0,27.20,27.20,1,
5431D,1M,Inward 1 1/2 Somersault 1/2 Twist Free,2.70,0.00,0.00,0,0.00,0.00,0,
5431D,3M,Inward 1 1/2 Somersault 1/2 Twist Free,2.40,22.80,22.80,1,29.75,45.60,24,
5432D,1M,Inward 1 1/2 Somersault 1 Twist Free,2.70,0.00,0.00,0,37.46,43.20,4,
5432D,3M,Inward 1 1/2 Somersault 1 Twist Free,2.40,38.00,40.80,3,44.44,72.00,53,
5432D,5M,Inward 1 1/2 Somersault 1 Twist Free,2.70,0.00,0.00,0,0.00,0.00,0,
5432D,7M,Inward 1 1/2 Somersault 1 Twist Free,2.40,0.00,0.00,0,0.00,0.00,0,
5432D,10M,Inward 1 1/2 Somersault 1 Twist Free,2.30,0.00,0.00,0,0.00,0.00,0,
5434D,1M,Inward 1 1/2 Somersault 2 Twist Free,3.10,40.30,41.85,2,45.47,54.25,6,
5434D,3M,Inward 1 1/2 Somersault 2 Twist Free,2.80,0.00,0.00,0,44.16,57.40,11,
5434D,5M,Inward 1 1/2 Somersault 2 Twist Free,3.10,0.00,0.00,0,0.00,0.00,0,
5434D,7M,Inward 1 1/2 Somersault 2 Twist Free,2.80,0.00,0.00,0,0.00,0.00,0,
5434D,10M,Inward 1 1/2 Somersault 2 Twist Free,2.70,0.00,0.00,0,0.00,0.00,0,
5436D,3M,Inward 1 1/2 Somersault 3 Twist Free,3.50,0.00,0.00,0,0.00,0.00,0,
5436D,10M,Inward 1 1/2 Somersault 3 Twist Free,3.40,0.00,0.00,0,0.00,0.00,0,
6111A,1M,Armstand Forward 1/2 Somersault 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
6111A,3M,Armstand Forward 1/2 Somersault 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
6111A,5M,Armstand Forward 1/2 Somersault 1/2 Twist Straight,1.90,0.00,0.00,0,0.00,0.00,0,
6111A,7M,Armstand Forward 1/2 Somersault 1/2 Twist Straight,2.10,0.00,0.00,0,0.00,0.00,0,
6111A,10M,Armstand Forward 1/2 Somersault 1/2 Twist Straight,2.10,0.00,0.00,0,0.00,0.00,0,
6122D,5M,Armstand Forward 1 Somersault 1 Twist Free,2.40,0.00,0.00,0,0.00,0.00,0,
6122D,7M,Armstand Forward 1 Somersault 1 Twist Free,2.50,0.00,0.00,0,0.00,0.00,0,
6122D,10M,Armstand Forward 1 Somersault 1 Twist Free,2.60,0.00,0.00,0,0.00,0.00,0,
6124D,5M,Armstand Forward 1 Somersault 2 Twist Free,2.70,0.00,0.00,0,0.00,0.00,0,
6124D,7M,Armstand Forward 1 Somersault 2 Twist Free,2.80,0.00,0.00,0,0.00,0.00,0,
6124D,10M,Armstand Forward 1 Somersault 2 Twist Free,2.90,0.00,0.00,0,0.00,0.00,0,
6142D,5M,Armstand Forward 2 Somersault 1 Twist Free,3.20,0.00,0.00,0,0.00,0.00,0,
6142D,7M,Armstand Forward 2 Somersault 1 Twist Free,3.00,0.00,0.00,0,0.00,0.00,0,
6142D,10M,Armstand Forward 2 Somersault 1 Twist Free,3.10,57.06,83.70,96,58.23,83.70,805,
6144D,5M,Armstand Forward 2 Somersault 2 Twist Free,3.50,0.00,0.00,0,0.00,0.00,0,
6144D,7M,Armstand Forward 2 Somersault 2 Twist Free,3.30,0.00,0.00,0,0.00,0.00,0,
6144D,10M,Armstand Forward 2 Somersault 2 Twist Free,3.40,0.00,0.00,0,57.80,66.30,3,
6162C,10M,Armstand Forward 3 Somersault 1 Twist Tuck,3.90,0.00,0.00,0,0.00,0.00,0,
6211A,1M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
6211A,3M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
6211A,5M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
6211A,7M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
6211A,10M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
6221D,5M,Armstand Back 1 Somersault 1/2 Twist Free,1.60,21.52,28.00,10,21.82,35.20,58,
6221D,7M,Armstand Back 1 Somersault 1/2 Twist Free,1.70,0.00,0.00,0,22.10,22.10,1,
6221D,10M,Armstand Back 1 Somersault 1/2 Twist Free,1.80,22.50,22.50,1,22.50,22.50,1,
6223D,5M,Armstand Back 1 Somersault 1 1/2 Twist Free,2.50,0.00,0.00,0,32.08,41.25,3,
6232D,5M,Armstand Back 1 1/2 Somersault 1 Twist Free,2.80,0.00,0.00,0,36.40,36.40,1,
6241B,5M,Armstand Back 2 Somersault 1/2 Twist Pike,2.80,0.00,0.00,0,0.00,0.00,1,
6241B,7M,Armstand Back 2 Somersault 1/2 Twist Pike,2.60,44.63,50.70,3,40.13,58.50,34,
6241B,10M,Armstand Back 2 Somersault 1/2 Twist Pike,2.70,46.25,64.80,122,45.73,72.90,1112,
6241C,5M,Armstand Back 2 Somersault 1/2 Twist Tuck,2.50,0.00,0.00,0,0.00,0.00,0,
6241C,7M,Armstand Back 2 Somersault 1/2 Twist Tuck,2.30,0.00,0.00,0,14.95,14.95,1,
6241C,10M,Armstand Back 2 Somersault 1/2 Twist Tuck,2.40,32.40,32.40,1,32.40,32.40,1,
6241D,5M,Armstand Back 2 Somersault 1/2 Twist Free,2.50,0.00,0.00,0,0.00,0.00,0,
6241D,7M,Armstand Back 2 Somersault 1/2 Twist Free,2.30,0.00,0.00,0,0.00,0.00,0,
6241D,10M,Armstand Back 2 Somersault 1/2 Twist Free,2.40,0.00,0.00,0,37.94,46.80,21,
6243D,5M,Armstand Back 2 Somersault 1 1/2 Twist Free,3.30,0.00,0.00,0,0.00,0.00,0,
6243D,7M,Armstand Back 2 Somersault 1 1/2 Twist Free,3.10,0.00,0.00,0,27.90,27.90,1,
6243D,10M,Armstand Back 2 Somersault 1 1/2 Twist Free,3.20,58.74,88.00,475,59.09,96.00,3893,
6245D,5M,Armstand Back 2 Somersault 2 1/2 Twist Free,3.70,0.00,0.00,0,0.00,0.00,0,
6245D,7M,Armstand Back 2 Somersault 2 1/2 Twist Free,3.50,0.00,0.00,0,0.00,0.00,0,
6245D,10M,Armstand Back 2 Somersault 2 1/2 Twist Free,3.60,68.69,93.60,94,70.90,100.80,513,
6247D,10M,Armstand Back 2 Somersault 3 1/2 Twists Free,4.00,0.00,0.00,0,0.00,0.00,0,
6261B,5M,Armstand Back 3 Somersault 1/2 Twist Pike,3.60,0.00,0.00,0,0.00,0.00,0,
6261B,7M,Armstand Back 3 Somersault 1/2 Twist Pike,3.20,0.00,0.00,0,0.00,0.00,0,
6261B,10M,Armstand Back 3 Somersault 1/2 Twist Pike,3.40,0.00,0.00,0,0.00,0.00,0,
6261C,5M,Armstand Back 3 Somersault 1/2 Twist Tuck,3.40,0.00,0.00,0,0.00,0.00,0,
6261C,7M,Armstand Back 3 Somersault 1/2 Twist Tuck,3.00,0.00,0.00,0,0.00,0.00,0,
6261C,10M,Armstand Back 3 Somersault 1/2 Twist Tuck,3.20,0.00,0.00,0,0.00,0.00,0,
6263B,10M,Armstand Back 3 Somersault 1 1/2 Twists Pike,4.20,0.00,0.00,0,0.00,0.00,0,
6263C,10M,Armstand Back 3 Somersault 1 1/2 Twists Tuck,4.00,0.00,0.00,0,0.00,0.00,0,
6265B,10M,Armstand Back 3 Somersault 2 1/2 Twists Pike,4.60,0.00,0.00,0,0.00,0.00,0,
6265C,10M,Armstand Back 3 Somersault 2 1/2 Twists Tuck,4.40,0.00,0.00,0,0.00,0.00,0,
